year,employees_start,employees_end,new_hires,net_change,hiring_rate_pct,attrition_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,layoff_pct_log,layoff_pct_next_log,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter),fed_rate,sp500_return,recession
2016,9700,8900,0,-800,0.0,8.2,4.27,40.9,1.6,4.9,2.224344883555413,1.3862943611198906,-8.24742268041237,0.0,440206.18556701025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75,12.0,0.0
2017,8900,9100,467,200,5.2,3.0,5.33,-4.8,2.4,4.4,1.3862943611198906,1.3862943611198906,2.247191011235955,1.742537313432836,598876.404494382,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5,21.8,0.0
2018,9100,10100,1273,1000,14.0,3.0,6.48,34.7,2.9,3.9,1.3862943611198906,1.3862943611198906,10.989010989010989,4.645985401459854,712087.9120879121,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5,-4.4,0.0
2019,10100,11400,1603,1300,15.9,3.0,6.73,36.8,2.3,3.7,1.3862943611198906,1.3862943611198906,12.871287128712872,5.2730263157894735,666336.6336633663,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,31.5,0.0
2020,11400,13900,2842,2500,24.9,3.0,9.76,18.6,-2.8,8.1,1.3862943611198906,1.3862943611198906,21.929824561403507,8.285714285714286,856140.350877193,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,18.4,1.0
2021,13900,15500,2017,1600,14.5,3.0,16.43,43.6,5.8,5.4,1.3862943611198906,1.9459101490553132,11.510791366906476,4.8253588516746415,1182014.3884892086,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,28.7,0.0
2022,15500,26000,11430,10500,73.7,6.0,23.6,-23.5,1.9,3.6,1.9459101490553132,1.9459101490553132,67.74193548387096,12.277121374865736,1522580.6451612904,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,-18.1,0.0
2023,26000,26000,1560,0,6.0,6.0,22.68,40.5,2.5,3.7,1.9459101490553132,1.3862943611198906,0.0,0.9993593850096092,872307.6923076923,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,26.3,0.0
2024,26000,28000,2780,2000,10.7,3.0,25.8,28.6,2.8,4.1,1.3862943611198906,1.3862943611198906,7.6923076923076925,3.559539052496799,992307.6923076923,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,25.0,0.0
2001,3007,3000,233,-7,7.7,8.0,1.23,29.0,1.0,4.7,2.1951531876553223,2.1972245773362196,-0.2327901563019621,0.966804979253112,409045.56035916193,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,-11.9,1.0
2002,3000,2900,140,-100,4.7,8.0,1.17,-5.3,1.7,5.8,2.1972245773362196,1.3862943611198906,-3.3333333333333335,0.5809128630705395,390000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.25,-22.1,0.0
2003,2900,3100,287,200,9.9,3.0,1.3,-17.4,2.8,6.0,1.3862943611198906,1.3862943611198906,6.896551724137931,3.2613636363636362,448275.8620689655,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,28.7,0.0
2004,3100,3300,293,200,9.5,3.0,1.67,-26.5,3.8,5.5,1.3862943611198906,1.7557658665801497,6.451612903225806,3.117021276595745,538709.6774193548,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,10.9,0.0
2005,3300,3142,0,-158,0.0,4.8,1.97,48.8,3.5,5.1,1.7557658665801497,1.3842234722873996,-4.787878787878788,0.0,596969.696969697,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,4.9,0.0
2006,3142,6082,3034,2940,96.6,3.0,2.58,44.7,2.8,4.6,1.3842234722873996,1.3844017458666107,93.57097390197326,31.936842105263157,821133.0362826225,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.25,15.8,0.0
2007,6082,6500,600,418,9.9,3.0,3.16,21.1,2.0,4.6,1.3844017458666107,2.1972245773362196,6.872739230516278,3.278688524590164,519565.9322591253,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,5.5,0.0
2008,6500,7335,1355,835,20.8,8.0,3.58,30.0,0.1,5.8,2.1972245773362196,2.21702274930706,12.846153846153847,2.600767754318618,550769.2307692308,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,-37.0,1.0
2009,7335,6735,0,-600,0.0,8.2,2.95,31.5,-2.6,9.3,2.21702274930706,1.3861087462701698,-8.1799591002045,0.0,402181.3224267212,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,26.5,1.0
2010,6735,9117,2584,2382,38.4,3.0,3.8,16.9,2.7,9.6,1.3861087462701698,1.3848948959810106,35.367483296213805,12.729064039408867,564216.7780252412,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,15.1,0.0
2011,9117,9925,1081,808,11.9,3.0,4.22,-15.0,1.6,8.9,1.3848948959810106,1.3844034056241905,8.862564440057035,3.9452554744525545,462871.5586267412,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,2.1,0.0
2012,9925,11144,1516,1219,15.3,3.0,4.4,5.8,2.3,8.1,1.3844034056241905,1.38557622823445,12.282115869017632,5.087248322147651,443324.9370277078,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,16.0,0.0
2013,11144,11847,1037,703,9.3,3.0,4.06,7.3,1.8,7.4,1.38557622823445,1.3854287886797192,6.308327351040918,3.0955223880597016,364321.60804020095,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,32.4,0.0
2014,11847,12499,1007,652,8.5,3.0,4.15,42.3,2.5,6.2,1.3854287886797192,1.3843523213684228,5.503502996539209,2.8286516853932584,350299.6539208239,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,13.7,0.0
2015,12499,13893,1768,1394,14.1,3.0,4.8,17.2,2.9,5.3,1.3843523213684228,1.3848717705049693,11.15289223137851,4.714666666666667,384030.7224577966,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,1.4,0.0
2016,13893,15706,2229,1813,16.0,3.0,5.85,-3.9,1.6,4.9,1.3848717705049693,1.3860078053589548,13.04973727776578,5.345323741007194,421075.3616929389,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75,12.0,0.0
2017,15706,17973,2738,2267,17.4,3.0,7.3,36.5,2.4,4.4,1.3860078053589548,1.3860300408735078,14.433974277346238,5.8008474576271185,464790.52591366356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5,21.8,0.0
2018,17973,21357,3923,3384,21.8,3.0,9.03,32.8,2.9,3.9,1.3860300408735078,1.3854629063189388,18.828242363545318,7.264814814814815,502420.29711233516,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5,-4.4,0.0
2019,21357,22516,1799,1159,8.4,3.0,11.17,19.6,2.3,3.7,1.3854629063189388,1.385761264705666,5.426792152455869,2.8065522620904835,523013.53186308936,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,31.5,0.0
2020,22516,22634,793,118,3.5,3.0,12.87,21.0,-2.8,8.1,1.385761264705666,1.3862722702158194,0.5240717711849352,1.1730769230769231,571593.533487298,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,18.4,1.0
2021,22634,25988,4033,3354,17.8,3.0,15.79,20.2,5.8,5.4,1.3862722702158194,1.9457562200162961,14.818414774233455,5.930882352941176,697623.0449765839,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,28.7,0.0
2022,25988,29239,4810,3251,18.5,6.0,17.61,-26.8,1.9,3.6,1.9457562200162961,1.9457440166180615,12.5096198245344,3.0833333333333335,677620.4402031706,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,-18.1,0.0
2023,29239,29867,2382,628,8.1,6.0,19.41,96.5,2.5,3.7,1.9457440166180615,1.3862859906425642,2.147816272786347,1.3572649572649573,663839.3925920859,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,26.3,0.0
2024,29867,30000,1029,133,3.4,3.0,21.5,35.7,2.8,4.1,1.3862859906425642,1.3862943611198906,0.4453075300498878,1.1471571906354514,719858.0372986909,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,25.0,0.0
2009,17,20,4,3,23.5,5.9,0.0,-5.5,-2.6,9.3,1.92896059074154,0.0,17.647058823529413,2.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,26.5,1.0
2010,20,50,30,30,150.0,0.0,0.02,-7.1,2.7,9.6,0.0,1.0986122886681096,150.0,30.0,1000000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,15.1,0.0
2011,50,150,101,100,202.0,2.0,0.08,24.7,1.6,8.9,1.0986122886681096,1.2992829841302609,200.0,50.5,1600000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,2.1,0.0
2012,150,400,254,250,169.3,2.7,0.15,-1.9,2.3,8.1,1.2992829841302609,1.3862943611198906,166.66666666666669,50.8,1000000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,16.0,0.0
2013,400,700,312,300,78.0,3.0,0.25,-21.8,1.8,7.4,1.3862943611198906,1.3862943611198906,75.0,24.0,625000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,32.4,0.0
2014,700,1000,321,300,45.9,3.0,0.42,39.7,2.5,6.2,1.3862943611198906,1.3862943611198906,42.857142857142854,14.590909090909092,600000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,13.7,0.0
2015,1000,2000,1030,1000,103.0,3.0,0.92,-3.8,2.9,5.3,1.3862943611198906,1.3862943611198906,100.0,33.225806451612904,920000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,1.4,0.0
2016,2000,3100,1160,1100,58.0,3.0,1.66,39.0,1.6,4.9,1.3862943611198906,1.3862943611198906,55.00000000000001,19.016393442622952,830000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75,12.0,0.0
2017,3100,4400,1393,1300,44.9,3.0,2.56,11.0,2.4,4.4,1.3862943611198906,1.3862943611198906,41.935483870967744,14.819148936170214,825806.4516129033,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5,21.8,0.0
2018,4400,5300,1032,900,23.5,3.0,3.65,28.7,2.9,3.9,1.3862943611198906,1.3862943611198906,20.454545454545457,7.7593984962406015,829545.4545454546,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5,-4.4,0.0
2019,5300,6100,959,800,18.1,3.0,4.81,43.6,2.3,3.7,1.3862943611198906,2.218847041349385,15.09433962264151,5.99375,907547.1698113207,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,31.5,0.0
2020,6100,5600,0,-500,0.0,8.2,3.38,93.4,-2.8,8.1,2.218847041349385,1.3862943611198906,-8.19672131147541,0.0,554098.3606557377,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,18.4,1.0
2021,5600,6800,1368,1200,24.4,3.0,5.99,78.9,5.8,5.4,1.3862943611198906,1.9459101490553132,21.428571428571427,8.094674556213018,1069642.857142857,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,28.7,0.0
2022,6800,6900,508,100,7.5,6.0,8.4,-53.3,1.9,3.6,1.9459101490553132,1.9459101490553132,1.4705882352941175,1.2420537897310513,1235294.1176470588,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,-18.1,0.0
2023,6900,6900,414,0,6.0,6.0,9.92,92.0,2.5,3.7,1.9459101490553132,1.3862943611198906,0.0,0.9975903614457832,1437681.1594202898,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,26.3,0.0
2024,6900,7200,507,300,7.3,3.0,11.1,58.5,2.8,4.1,1.3862943611198906,1.3862943611198906,4.3478260869565215,2.4375,1608695.652173913,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,25.0,0.0
2004,2567,3021,531,454,20.7,3.0,3.19,-10.1,3.8,5.5,1.3861969664278244,1.3810672179175822,17.6860148032723,6.8076923076923075,1242695.753798208,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,10.9,0.0
2005,3021,5680,2749,2659,91.0,3.0,6.14,-10.1,3.5,5.1,1.3810672179175822,1.3845322461264913,88.01721284342932,30.208791208791208,2032439.5895398874,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,4.9,0.0
2006,5680,10674,5164,4994,90.9,3.0,10.6,39.1,2.8,4.6,1.3845322461264913,1.385778957570939,87.9225352112676,30.198830409356724,1866197.1830985916,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.25,15.8,0.0
2007,10674,16805,6451,6131,60.4,3.0,16.59,-2.5,2.0,4.6,1.385778957570939,2.196960070804672,57.43863593779277,20.09657320872274,1554243.9572793704,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,5.5,0.0
2008,16805,20222,4761,3417,28.3,8.0,21.8,45.2,0.1,5.8,2.196960070804672,2.1968069031160344,20.333234156501042,3.5397769516728625,1297232.966379054,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,-37.0,1.0
2009,20222,19835,1230,-387,6.1,8.0,23.65,-24.8,-2.6,9.3,2.1968069031160344,1.3862313392197594,-1.9137572940361982,0.7601977750309024,1169518.3463554545,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,26.5,1.0
2010,19835,24400,5160,4565,26.0,3.0,29.32,18.3,2.7,9.6,1.3862313392197594,1.3862943611198906,23.01487269977313,8.657718120805368,1478195.1096546508,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,15.1,0.0
2011,24400,32467,8799,8067,36.1,3.0,37.91,-12.1,1.6,8.9,1.3862943611198906,1.3862866609639624,33.06147540983606,12.004092769440655,1553688.524590164,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,2.1,0.0
2012,32467,53861,22368,21394,68.9,3.0,50.18,-7.3,2.3,8.1,1.3862866609639624,2.5124190225723013,65.894600671451,22.94153846153846,1545569.3473372962,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,16.0,0.0
2013,53861,47756,0,-6105,0.0,11.3,55.52,35.6,1.8,7.4,2.5124190225723013,1.3859383215329053,-11.33473199532129,0.0,1030801.5075843375,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,32.4,0.0
2014,47756,53600,7276,5844,15.2,3.0,66.0,27.7,2.5,6.2,1.3859383215329053,1.3862943611198906,12.237205796130329,5.077459874389393,1382025.2952508586,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,13.7,0.0
2015,53600,61814,9822,8214,18.3,3.0,74.99,7.6,2.9,5.3,1.3862943611198906,1.3861244822592882,15.324626865671643,6.1044126786824116,1399067.1641791044,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,1.4,0.0
2016,61814,72053,12093,10239,19.6,3.0,90.27,41.3,1.6,4.9,1.3861244822592882,1.386089629742357,16.56420875529815,6.519137466307278,1460348.788300385,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.75,12.0,0.0
2017,72053,80110,10218,8057,14.2,3.0,110.86,41.3,2.4,4.4,1.386089629742357,1.3862007354663932,11.182046549068048,4.72617946345976,1538589.6492859423,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5,21.8,0.0
2018,80110,98771,21064,18661,26.3,3.0,136.82,-14.3,2.9,3.9,1.3862007354663932,1.3862614561835145,23.294220446885532,8.76206322795341,1707901.635251529,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5,-4.4,0.0
2019,98771,118899,23091,20128,23.4,3.0,161.86,-18.4,2.3,3.7,1.3862614561835145,1.3860903857013755,20.378451164815583,7.790485829959514,1638740.1160259591,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,31.5,0.0
2020,118899,135301,19968,16402,16.8,3.0,182.53,32.4,-2.8,8.1,1.3860903857013755,1.3862888179082462,13.794901555101388,5.59798149705635,1535168.5043608441,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,18.4,1.0
2021,135301,156500,25258,21199,18.7,3.0,257.64,53.2,5.8,5.4,1.3862888179082462,1.9459101490553132,15.668029061130367,6.221182266009852,1904198.7864095608,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,28.7,0.0
2022,156500,190234,43124,33734,27.6,6.0,282.84,-38.0,1.9,3.6,1.9459101490553132,1.9459071452314456,21.555271565495207,4.592056224044298,1807284.3450479233,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,-18.1,0.0
2023,190234,182502,3682,-7732,1.9,6.0,307.39,88.4,2.5,3.7,1.9459071452314456,1.3862861419981038,-4.0644679710251586,0.3225580376697328,1615852.055889063,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,26.3,0.0
2024,182502,183323,6296,821,3.4,3.0,350.0,-5.5,2.8,4.1,1.3862861419981038,1.3862002604798687,0.4498580837470274,1.1497443389335282,1917787.2023320294,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.5,25.0,0.0
2001,9000,7800,0,-1200,0.0,13.3,3.12,-7.5,1.0,4.7,2.662587827025453,2.1972245773362196,-13.333333333333334,0.0,346666.6666666667,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,-11.9,1.0
2002,7800,7500,324,-300,4.2,8.0,3.93,13.7,1.7,5.8,2.1972245773362196,1.3862943611198906,-3.8461538461538463,0.5184,503846.1538461539,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.25,-22.1,0.0
2003,7500,7800,525,300,7.0,3.0,5.26,-26.9,2.8,6.0,1.3862943611198906,1.3862943611198906,4.0,2.3230088495575223,701333.3333333334,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,28.7,0.0
2004,7800,9000,1434,1200,18.4,3.0,6.92,-13.2,3.8,5.5,1.3862943611198906,1.3862943611198906,15.384615384615385,6.102127659574468,887179.4871794871,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,10.9,0.0
2005,9000,12000,3270,3000,36.3,3.0,8.49,-9.3,3.5,5.1,1.3862943611198906,1.3862943611198906,33.33333333333333,12.066420664206642,943333.3333333334,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,4.9,0.0
2006,12000,13900,2260,1900,18.8,3.0,10.71,-18.4,2.8,4.6,1.3862943611198906,1.3862943611198906,15.833333333333332,6.260387811634349,892500.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.25,15.8,0.0
2007,13900,17000,3517,3100,25.3,3.0,14.84,43.8,2.0,4.6,1.3862943611198906,2.1972245773362196,22.302158273381295,8.413875598086124,1067625.8992805756,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,5.5,0.0
2008,17000,20700,5060,3700,29.8,8.0,19.17,-28.7,0.1,5.8,2.1972245773362196,2.1972245773362196,21.764705882352942,3.7178545187362233,1127647.0588235294,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,-37.0,1.0
2009,20700,24300,5256,3600,25.4,8.0,24.51,32.7,-2.6,9.3,2.1972245773362196,1.3862943611198906,17.391304347826086,3.171997585998793,1184057.9710144927,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,26.5,1.0
